site,study_id,Site_name,Country,River,Data_owner,Longitude_X,Latitude_Y,sampling_method_long,unit,Starting_year,Ending_year,Year_count,Sampling_years,Min_month,Max_month,season,TaxonomicRes,abund_alienSpp,SppRich_alienSpp,abundProportion_alienSpp,SppRichProportion_alienSpp,Max of spp_richness_perYr,Min of spp_richness_perYr,total_sppRich_AllYrs,total_abund_AllYrs,ppt_Est,tmax_Est,MacrobasinID,MicrobasinID,microbasin_area_km2,strahler_streamOrder,accumulation_atPoint,elevation_atPoint,slope_atPoint,crop_meanPerc_subcatch,urban_meanPerc_subcatch,dam_impact_score_lessthan100km,ppt_mm_12moPrior,tmax_C_12moPrior
103000578,Spain_3_1,Legorreta (Oria Medio) (LEGORRETA),Spain,Oria,Aitor LarraÒaga,-2.1527286,43.0810712,Kicknet,Ind/ 5 subsamples,1994,2019,26,26,9,10,fall,genus,63557,4,0.108585604,0.032520325,33,9,123,585317,0.398946582,0.028062678,1097230,20742621,0.238308814,5,0.01337574,123.5,0.013957421,0,0,0,1157.038462,17.95320513
103000579,Spain_3_1,Loyola (Urola Medio) (AZPEITIA),Spain,Urola,Aitor LarraÒaga,-2.2787772,43.1757025,Kicknet,Ind/ 5 subsamples,2007,2019,13,13,9,10,fall,genus,850,2,0.003137122,0.025316456,27,19,79,270949,3.569378231,0.063415751,1093886,23688296,0.062615607,4,0.01209471,92.8,0.044490357,0.048148148,0.025925926,0,1228.615385,18.01217949
103000580,Spain_3_1,Luyando (Nerbioi Alto) (AYALA /AIARA),Spain,Nerbioi,Aitor LarraÒaga,-2.9952191,43.1085751,Kicknet,Ind/ 5 subsamples,1993,2019,27,27,9,10,fall,genus,47269,2,0.087223925,0.017391304,32,6,115,541927,0.249189627,0.028769841,1097026,17552982,0.169243655,5,0.06748096,166.6,0.036645921,0,0,0.112178144,1016.259259,16.87438272
103000581,Spain_3_1,Martioda (Zalla Bajo) (VITORIA-GASTEIZ),Spain,Zalla,Aitor LarraÒaga,-2.7569147,42.8706453,Kicknet,Ind/ 5 subsamples,2007,2019,13,13,9,10,fall,genus,10068,1,0.039932573,0.011904762,28,11,84,252125,0.751339715,0.06268315,1096464,7007053,0.088101262,2,1.318778,500.8,0,1,0,0,822.1538462,17.0775641
103000582,Spain_3_1,Matauko (Alegria) (VITORIA-GASTEIZ),Spain,Alegria,Aitor LarraÒaga,-2.5774594,42.8630546,Kicknet,Ind/ 5 subsamples,2000,2019,20,20,9,10,fall,genus,122210,2,0.280473139,0.018348624,35,14,109,435728,2.316245713,0.036497494,1096464,6648098,0.188807814,1,0.01230872,526.3,0.01743503,0.9999997,0,0,822.9,16.96791667
103000583,Spain_3_1,Matiena(Ibaizabal Alto) (ABADI√ëO),Spain,Ibaizabal,Aitor LarraÒaga,-2.6123288,43.1548249,Kicknet,Ind/ 5 subsamples,1994,2019,26,26,9,10,fall,genus,14599,4,0.069504485,0.041666667,28,7,96,210044,0.752049971,0.025846154,1097026,20167107,0.225500679,5,74.16083,129.8,0.036645987,0,0.058642037,0.036206512,1076.615385,17.94487179
103000584,Spain_3_1,Maturana (Barrundia) (BARRUNDIA),Spain,Barrundia,Aitor LarraÒaga,-2.494877,42.9112402,Kicknet,Ind/ 5 subsamples,2007,2019,13,13,9,10,fall,genus,177,2,0.001323849,0.025641026,24,14,78,133701,2.373263201,0.061858974,1096464,6263782,0.257838032,5,83.02927,551.7,0,0,0,0,893,16.78461538
103000585,Spain_3_1,Maulanda (Deba Alto) (ESKORIATZA),Spain,Deba,Aitor LarraÒaga,-2.5672215,42.9966532,Kicknet,Ind/ 5 subsamples,2007,2019,13,13,9,10,fall,genus,19814,1,0.092040413,0.008403361,41,13,119,215275,1.925540156,0.061813187,1091692,9971881,0.119318268,4,13.14398,352.8,0.027042582,0,0,0,972.2307692,16.38653846
103000586,Spain_3_1,Mekoleta (Santa Engracia) (OTXANDIO),Spain,Santa Engracia,Aitor LarraÒaga,-2.6692665,43.0447023,Kicknet,Ind/ 5 subsamples,2007,2019,13,13,9,10,fall,genus,22711,2,0.045788583,0.032786885,26,3,61,495997,1.446671694,0.062454212,1096464,6296912,0.244725537,4,36.3547,548.9,0.014819811,0,0,0,1033.692308,16.26858974
103000587,Spain_3_1,Mendaro (Deba Bajo) (MENDARO),Spain,Deba,Aitor LarraÒaga,-2.3870691,43.254945,Kicknet,Ind/ 5 subsamples,2007,2019,13,13,9,10,fall,genus,259,3,0.001351951,0.038961039,23,10,77,191575,4.856459092,0.063278389,1091692,29193461,0.037521306,6,0.0338554,20.9,0.062808453,0,0.666667,0,1249.615385,17.75641026
103000588,Spain_3_1,Molinar (Karrantza) (KARRANTZA HARANA/VALLE DE CARRANZA),Spain,Karrantza,Aitor LarraÒaga,-3.3720556,43.2467883,Kicknet,Ind/ 5 subsamples,1997,2019,23,23,4,5,spring,genus,4102,2,0.002373406,0.013333333,44,15,150,1728318,-1.046529782,0.030780633,1097856,21004739,0.031271163,5,0.06412159,124.1,0.040165046,0.740740741,0,0,1058.608696,17.35181159
103000589,Spain_3_1,Murga (Izoria) (AYALA /AIARA),Spain,Izoria,Aitor LarraÒaga,-3.0168528,43.0736528,Kicknet,Ind/ 5 subsamples,2007,2019,13,13,5,5,spring,genus,10459,2,0.017337898,0.019417476,35,15,103,603245,0.985161137,0.053708792,1097026,14780307,0.332437111,4,16.8959,204.2,0.027048119,0.067086222,0.046121778,0,982.7692308,17.63076923
103000590,Spain_3_1,Mutriku (Mijoa-Saturraran) (MUTRIKU),Spain,Saturraran,Aitor LarraÒaga,-2.4050954,43.3077983,Kicknet,Ind/ 5 subsamples,1999,2015,17,10,9,10,fall,genus,166558,2,0.357150822,0.021276596,41,6,94,466352,7.950556923,0.02871732,1075510,28202362,0.212425577,4,0.8659484,27.8,0,0,0.008714593,0,1182.823529,18.08872549
103000591,Spain_3_1,Nanclares de la Oca (Zadorra Bajo) (IRU√ëA OKA/IRU√ëA DE OCA),Spain,Zadorra,Aitor LarraÒaga,-2.8131382,42.8126215,Kicknet,Ind/ 5 subsamples,2007,2019,13,13,9,10,fall,genus,8683,2,0.021389913,0.025641026,28,17,78,405939,0.693657514,0.061492674,1096464,7389411,0.05668818,7,962.4486,478.2,0,0.946502111,0.053497889,1.294720011,784.2307692,17.05576923
103000592,Spain_3_1,Oiartzun (Oiartzun Alto) (OIARTZUN),Spain,Oiartzun,Aitor LarraÒaga,-1.8203729,43.2813632,Kicknet,Ind/ 5 subsamples,2002,2016,15,8,9,10,fall,genus,546,1,0.004963817,0.007633588,44,34,131,109996,13.98696192,0.045178572,1097233,22241795,0.12501815,3,0.02239377,112.8,0.159675362,0,0,0,1333.533333,17.64666667
103000593,Spain_3_1,Oikina (Urola Bajo) (AIZARNAZABAL),Spain,Urola,Aitor LarraÒaga,-2.2341908,43.2670084,Kicknet,Ind/ 5 subsamples,2007,2019,13,13,9,10,fall,genus,12430,3,0.068488999,0.034883721,34,8,86,181489,4.068182084,0.06474359,1093886,29615979,0.156308577,5,306.4429,8.1,0,0.32,0,0,1246.153846,18.70705128
103000594,Spain_3_1,Okina (Ayuda Alto) (BERNEDO),Spain,Ayuda,Aitor LarraÒaga,-2.5872138,42.7585288,Kicknet,Ind/ 5 subsamples,1997,2013,17,16,9,10,fall,genus,1482,1,0.00445658,0.008,43,20,125,332542,-2.102381806,-0.005085784,1096464,3549922,0.271076627,3,11.33599,780.2,0,0.103359111,0,0,811.8235294,15.78872549
103000595,Spain_3_1,Olakoaga (Kadagua Bajo) (G√úE√ëES),Spain,Kadagua,Aitor LarraÒaga,-3.0250444,43.2208537,Kicknet,Ind/ 5 subsamples,2007,2019,13,13,9,10,fall,genus,1696,3,0.007320948,0.028571429,36,21,105,231664,2.416580539,0.058836996,1097026,27325591,0.043798312,6,0.06477793,46.6,0.069801804,0,0,0.676346082,1129.307692,17.39038462
103000596,Spain_3_1,Olalde. Zestoa (Altzolaratz) (ZESTOA),Spain,Altzolaratz,Aitor LarraÒaga,-2.2103456,43.2461806,Kicknet,Ind/ 5 subsamples,2002,2019,18,16,9,10,fall,genus,10514,3,0.044392652,0.020689655,49,31,145,236841,9.441243961,0.046112831,1093886,25100102,0.06254284,4,0.0348984,74.5,0.04104441,0,0,0,1283.055556,18.10740741
103000597,Spain_3_1,Oleta (Lea) (AMOROTO),Spain,Lea,Aitor LarraÒaga,-2.5064511,43.34284,Kicknet,Ind/ 5 subsamples,1993,2019,27,27,9,10,fall,genus,379453,2,0.331712012,0.011111111,52,14,180,1143923,0.977498733,0.030530118,1097851,29229212,0.124888794,5,0.006949473,19.7,0.062834808,0,0,0,1183.777778,18.02716049
103000598,Spain_3_1,O√±ati (Arantzazu) (O√ëATI),Spain,Arantzazu,Aitor LarraÒaga,-2.4340008,43.0330286,Kicknet,Ind/ 5 subsamples,2003,2019,17,14,9,10,fall,genus,28031,2,0.152680113,0.013605442,56,28,147,183593,4.241037961,0.039767157,1091692,14203007,0.112970337,5,35.7985,224.1,0.000872393,0,0,0,1014.235294,17.11421569
103000599,Spain_3_1,Ordizia (Oria Alto) (ORDIZIA),Spain,Oria,Aitor LarraÒaga,-2.1733788,43.0573502,Kicknet,Ind/ 5 subsamples,2007,2019,13,13,9,10,fall,genus,3706,4,0.045201737,0.050632911,26,8,79,81988,3.423043603,0.063461539,1097230,19336599,0.200760023,5,247.6601,140,0.012212702,0.109953704,0.630787037,0,1145.923077,17.92051282
103000600,Spain_3_1,Pandos (Aguera) (TRUCIOS-TURTZIOZ),Spain,Aguera,Aitor LarraÒaga,-3.2586967,43.2827593,Kicknet,Ind/ 5 subsamples,2003,2019,17,17,9,9,fall,genus,10088,1,0.042208675,0.006849315,48,30,146,239003,4.4896657,0.032659314,1096674,20091978,0.112510761,4,0.0101321,132.4,0.016201466,0,0,0,1101.294118,17.10931373
103000601,Spain_3_1,Retes de Llanteno (Herrerias) (AYALA /AIARA),Spain,Herrerias,Aitor LarraÒaga,-3.1043976,43.0889148,Kicknet,Ind/ 5 subsamples,1997,2017,21,12,9,10,fall,genus,37996,3,0.263886767,0.022058824,45,24,136,143986,-2.003984366,0.026638198,1097026,14336933,0.225744047,4,0.0214878,223.2,0.056713966,0,0,0,997.25,17.1875
103000602,Spain_3_1,Ribabellosa (Baia Bajo) (RIBERA BAJA/ERRIBERA BEITIA),Spain,Baia,Aitor LarraÒaga,-2.9276707,42.7109263,Kicknet,Ind/ 5 subsamples,1993,2019,27,21,9,10,fall,genus,13760,3,0.022502191,0.027522936,35,5,109,611496,0.115187892,0.029431217,1096464,7580223,0.126180716,5,206.5128,466.8,0.02509899,1,0,0.709442647,711.1851852,17.12839506
103000603,Spain_3_1,Ribera (Pur√≥n) (VALDEGOV√çA/GAUBEA),Spain,Pur√≥n,Aitor LarraÒaga,-3.2299022,42.8482494,Kicknet,Ind/ 5 subsamples,2000,2018,19,13,9,10,fall,genus,390,1,0.000793748,0.007246377,45,25,138,491340,1.848256305,0.036593567,1096464,3953157,0.251809183,4,12.83068,743.5,0.024843115,0.425,0,0,830.8421053,15.5254386
103000604,Spain_3_1,Salinas de A√±ana (Salado) (A√ëANA),Spain,La Muera - Omecillo,Aitor LarraÒaga,-3.0139784,42.8023358,Kicknet,Ind/ 5 subsamples,2007,2019,13,13,9,10,fall,genus,0,0,0,0,11,4,33,425180,-1.625201156,0.060302198,1096464,6680061,0.233092017,3,0.008244371,532.1,0.081944854,1,0,0,778.4615385,16.95641026
103000605,Spain_3_1,Salvatierra (Zadorra Alto) (SALVATIERRA/AGURAIN),Spain,Zadorra,Aitor LarraÒaga,-2.3992561,42.8584039,Kicknet,Ind/ 5 subsamples,1993,2019,27,24,9,10,fall,genus,2604,2,0.003115358,0.046511628,12,2,43,835859,0.402257939,0.031247456,1096464,5876787,0.119587807,4,0.006294064,583.9,0.043587575,1,0,0,852,16.8441358
103000606,Spain_3_1,San Agustin (Ibaizabal Alto) (ELORRIO),Spain,Ibaizabal,Aitor LarraÒaga,-2.569218,43.1304116,Kicknet,Ind/ 5 subsamples,2007,2019,13,13,9,9,fall,genus,412,1,0.003191621,0.014084507,27,10,71,129088,3.549415896,0.063049451,1097026,17440590,0.144123477,4,0.006772165,171.6,0.112497856,0,0.0434783,0,1103.538462,17.98782051
103000607,Spain_3_1,San Anton (Lea) (AULESTI),Spain,Lea,Aitor LarraÒaga,-2.5408751,43.3097565,Kicknet,Ind/ 5 subsamples,1993,2018,26,15,9,10,fall,genus,125417,2,0.38357459,0.012269939,48,22,163,326969,2.306808206,0.031550649,1097851,26325746,0.081223144,5,0.02212854,69.8,0.142251035,0,0,0,1195.375,17.74652778
103000608,Spain_3_1,San Esteban de Galdames (Barbadun) (SOPUERTA),Spain,Barbadun,Aitor LarraÒaga,-3.1393597,43.2706126,Kicknet,Ind/ 5 subsamples,2007,2019,13,13,9,9,fall,genus,44993,2,0.108874929,0.014285714,54,31,140,413254,2.123424222,0.05746337,1097517,25482062,0.081274352,5,0.01274767,67.8,0.027002699,0,0,0,1127.538462,17.74294872
103000609,Spain_3_1,San Kristobal (Mape) (BUSTURIA),Spain,Mape,Aitor LarraÒaga,-2.702943,43.3670659,Kicknet,Ind/ 5 subsamples,1999,2019,21,19,9,10,fall,genus,33639,1,0.121834967,0.006849315,45,20,146,276103,4.356251448,0.035735931,1097853,27841521,0.43069212,4,1.428036,13.2,0,0,0,0,1169.809524,18.0297619
103000610,Spain_3_1,San Prudentzio (Deba Alto) (BERGARA),Spain,Deba,Aitor LarraÒaga,-2.4474737,43.0814872,Kicknet,Ind/ 5 subsamples,2002,2019,18,18,9,10,fall,genus,26557,2,0.073564689,0.023255814,28,2,86,361002,6.683864218,0.043842449,1091692,16487651,0.163053547,6,253.3925,175.6,0,0,0,0,1044.722222,17.49166667
103000611,Spain_3_1,Sangroniz (Asua) (SONDIKA),Spain,Asua,Aitor LarraÒaga,-2.9375133,43.2920754,Kicknet,Ind/ 5 subsamples,1993,2019,27,27,9,10,fall,genus,54591,5,0.153955272,0.046728972,26,5,107,354590,0.836090923,0.028998779,1097026,29256429,0.01249934,2,1.347447,9.400001,0.054968925,0,1,0,1185.481481,18.19691358
103000612,Spain_3_1,Santa Cruz de Campezo aguas bajo piscifactoria (Ega) (CAMPEZO/KANPEZU),Spain,Ega,Aitor LarraÒaga,-2.3345495,42.6748491,Kicknet,Ind/ 5 subsamples,2003,2019,17,17,9,10,fall,genus,6225,2,0.009764338,0.016260163,48,21,123,637524,1.5330358,0.040236928,1096464,6367809,0.05681439,6,0.00762398,548.8,0.060487639,1,0,0,684.7647059,17.21029412
103000613,Spain_3_1,Santelices (Barbadun) (MUSKIZ),Spain,Barbadun,Aitor LarraÒaga,-3.1211689,43.313009,Kicknet,Ind/ 5 subsamples,1993,2019,27,27,9,10,fall,genus,71228,2,0.122532466,0.010752688,54,24,186,581299,0.462440807,0.028729141,1097517,29641446,0.306123733,5,0.0326241,17.5,0.104770469,0.21617563,0.008314452,0,1143.740741,17.7867284
103000614,Spain_3_1,Segura (Oria Alto) (IDIAZABAL),Spain,Oria,Aitor LarraÒaga,-2.2418122,43.0217141,Kicknet,Ind/ 5 subsamples,2004,2019,16,16,9,10,fall,genus,59910,2,0.148622064,0.017094017,37,17,117,403103,5.275578573,0.059252451,1097230,15365844,0.28248234,5,62.39833,195.7,0,0,0.004938267,0,1066.625,18.1140625
103000615,Spain_3_1,Sorabilla (Oria Medio) (ANDOAIN),Spain,Oria,Aitor LarraÒaga,-2.0328358,43.2093752,Kicknet,Ind/ 5 subsamples,1993,2019,27,27,9,10,fall,genus,15234,4,0.027575097,0.034782609,31,3,115,552455,0.694303543,0.033567359,1097230,22219537,0.375513548,1,0.2357145,46.6,0.047106354,0,0.059876533,0,1335.407407,18.57222222
103000616,Spain_3_1,Soraluze (Deba Medio) (SORALUZE-PLACENCIA DE LAS ARMAS),Spain,Deba,Aitor LarraÒaga,-2.4190195,43.1778603,Kicknet,Ind/ 5 subsamples,2007,2019,13,13,9,10,fall,genus,2567,2,0.008692914,0.025,31,15,80,295298,4.554728247,0.063232601,1091692,22384001,0.150274979,6,357.3387,102.6,0,0,0,0,1174.923077,17.67884615
103000617,Spain_3_1,Su√±abolueta (Aramaio) (ARAMAIO),Spain,Aramaio,Aitor LarraÒaga,-2.5400191,43.0580425,Kicknet,Ind/ 5 subsamples,2009,2019,11,8,9,10,fall,genus,4419,1,0.049919794,0.011627907,37,18,86,88522,4.834270455,0.082272727,1091692,11475966,0.050190304,3,4.685251,290.7,0.027042582,0,0,0,1054.818182,17.49090909
103000618,Spain_3_1,Trespuentes aguas arriba confluencia del Oka (Zadorra Bajo) (IRU√ëA OKA/IRU√ë,Spain,Zadorra,Aitor LarraÒaga,-2.7736786,42.8463023,Kicknet,Ind/ 5 subsamples,2007,2019,13,13,9,10,fall,genus,17819,2,0.024291757,0.038461538,23,8,52,733541,1.00187314,0.06268315,1096464,7095540,0.081839477,7,902.4533,495.8,0,1,0,1.513930732,822.1538462,17.0775641
103000619,Spain_3_1,Ugao-Miraballes (Zeberio) (ZEBERIO),Spain,Zeberio,Aitor LarraÒaga,-2.8979978,43.1705192,Kicknet,Ind/ 5 subsamples,2003,2019,17,17,9,10,fall,genus,2097,3,0.009823532,0.025862069,34,16,116,213467,3.874885039,0.036519608,1097026,24305463,0.081408108,4,0.02169593,102,0.228983556,0,0,0,1097.058824,17.87941177
103000620,Spain_3_1,Urarte (Ayuda Alto) (BERNEDO),Spain,Ayuda,Aitor LarraÒaga,-2.5957968,42.7014825,Kicknet,Ind/ 5 subsamples,2007,2018,12,11,9,10,fall,genus,15960,1,0.035419284,0.006849315,51,29,146,450602,4.346692956,0.06958042,1096464,5336394,0.227162727,4,0.145185,625.4,0.019193027,1,0,0,712.0833333,16.94305556
103000621,Spain_3_1,Urbina (Santa Engracia) (ARRAZUA-UBARRUNDIA),Spain,Santa Engracia,Aitor LarraÒaga,-2.6373866,42.9416236,Kicknet,Ind/ 5 subsamples,2003,2019,17,17,9,10,fall,genus,4606,2,0.006984799,0.02739726,27,9,73,659432,3.224350883,0.039726307,1096464,6020954,0.238861167,1,104.3251,518.4,0,0,0,0,905.5882353,16.80833333
103000622,Spain_3_1,Urdanibia (Jaizubia) (IRUN),Spain,Jaizubia,Aitor LarraÒaga,-1.8214359,43.3379944,Kicknet,Ind/ 5 subsamples,1999,2019,21,19,9,10,fall,genus,3499,3,0.016974972,0.041666667,17,5,72,206127,3.638693169,0.044253247,1097519,30041783,0.07494027,4,18.41501,3.2,0.014041372,0,0.077160463,0,1268.190476,19.14285714
103000623,Spain_3_1,Urrestilla (Ibaieder) (AZPEITIA),Spain,Ibaieder,Aitor LarraÒaga,-2.2413836,43.1550378,Kicknet,Ind/ 5 subsamples,2007,2019,13,13,9,10,fall,genus,172854,2,0.226451134,0.013245033,54,28,151,763317,3.646353823,0.063598901,1093886,20774313,0.419671216,5,40.32655,121.5,0.013314842,0,0,0,1236.076923,17.775
103000624,Spain_3_1,Urretxu (Urola Medio) (URRETXU),Spain,Urola,Aitor LarraÒaga,-2.3188706,43.1085381,Kicknet,Ind/ 5 subsamples,2007,2019,13,13,9,10,fall,genus,26410,2,0.066521416,0.03030303,26,12,66,397015,3.918426004,0.063141025,1093886,10654711,0.188053143,4,55.87747,326,0,0,0,0,1163.307692,17.0474359
103000625,Spain_3_1,Usansolo Hospital (Ibaizabal Bajo) (GALDAKAO),Spain,Ibaizabal,Aitor LarraÒaga,-2.8210656,43.2263534,Kicknet,Ind/ 5 subsamples,2007,2019,13,9,9,9,fall,genus,107,3,0.001860384,0.043478261,34,12,69,57515,3.162786256,0.06268315,1097026,27217981,0.218981979,6,424.1187,41.2,0,0.0285714,0,0.322598953,1144.846154,18.125
103000626,Spain_3_1,Venta Blanca (Omecillo Bajo) (VALDEGOV√çA),Spain,Omecillo,Aitor LarraÒaga,-3.0496335,42.8251275,Kicknet,Ind/ 5 subsamples,1993,2019,27,27,9,10,fall,genus,16734,3,0.025211983,0.020408163,49,17,147,663732,-0.280250475,0.029456655,1096464,6497210,0.32747491,1,138.406,511.3,0.025280886,1,0,0.103608137,776.1481481,16.68179012
103000627,Spain_3_1,Zaldibi (Zaldivia) (ZALDIBIA),Spain,Zaldivia,Aitor LarraÒaga,-2.1577687,43.0485376,Kicknet,Ind/ 5 subsamples,2002,2019,18,18,9,10,fall,genus,43509,2,0.114428109,0.013888889,48,12,144,380230,7.376256216,0.047901617,1097230,17994917,0.156868678,4,37.63585,153.5,0.0165744,0,0,0,1141.333333,18.02314815
103000628,Spain_3_1,Zamudio (Asua) (ZAMUDIO),Spain,Asua,Aitor LarraÒaga,-2.8548711,43.2818792,Kicknet,Ind/ 5 subsamples,1994,2019,26,26,9,10,fall,genus,207417,3,0.374333375,0.025,31,8,120,554097,0.888646178,0.024655271,1097026,27608330,0.025003048,4,17.50966,33.6,0.020940555,0,0,0,1162.153846,17.91474359
103000629,Spain_3_1,Zarautz (I√±urritza) (ZARAUTZ),Spain,I√±urritza,Aitor LarraÒaga,-2.1709435,43.2768417,Kicknet,Ind/ 5 subsamples,1999,2019,21,16,9,10,fall,genus,6090,3,0.024334109,0.029126214,34,11,103,250266,4.083089235,0.040476191,1091192,29884815,0.050009691,4,0.01870282,5.4,0.007396106,0,0.962962963,0,1266.952381,18.47261905
103000630,Spain_3_1,Zestafe (Undabe) (ZIGOITIA),Spain,Santa Engracia,Aitor LarraÒaga,-2.6842373,43.0103093,Kicknet,Ind/ 5 subsamples,2007,2019,13,13,9,10,fall,genus,35,1,0.000299891,0.010204082,34,17,98,116709,2.267709875,0.062042125,1096464,6217134,0.194635953,4,0.01807315,585.5,0.262396988,0,0,0,994.7692308,16.21602564
103000631,Spain_3_1,Zestoa (Urola Bajo) (ZESTOA),Spain,Urola,Aitor LarraÒaga,-2.2582403,43.2256554,Kicknet,Ind/ 5 subsamples,2007,2019,13,13,9,10,fall,genus,3563,2,0.021953579,0.020618557,34,15,97,162297,4.143962146,0.063141026,1093886,26467477,0.04379643,5,249.6187,51.5,0,0,0.100529,0,1262.769231,18.10641026
103000632,Spain_3_1,Ziorraga (Altube) (ZUIA),Spain,Altube,Aitor LarraÒaga,-2.9001014,43.0042987,Kicknet,Ind/ 5 subsamples,2003,2018,16,11,9,9,fall,genus,16718,2,0.06046118,0.015625,55,25,128,276508,5.930168762,0.040992647,1097026,10157637,0.062791526,5,0.01628103,360.7,0.135240996,0,0,0,957.5625,16.7421875
103000633,Spain_3_1,Zuazo de Vitoria (Zadorra Medio) (VITORIA-GASTEIZ),Spain,Zadorra,Aitor LarraÒaga,-2.7261004,42.8564825,Kicknet,Ind/ 5 subsamples,2007,2019,13,13,9,10,fall,genus,19699,2,0.046736023,0.032258065,24,13,62,421495,1.641864848,0.060119048,1096464,7022780,0.132178229,7,0.007334556,507.4,0.061894144,0.830688,0.169312,1.61574489,829.9230769,17.05769231
103000634,Spain_3_1,Zubiete (Herrerias) (GORDEXOLA),Spain,Herrerias,Aitor LarraÒaga,-3.0577141,43.1855882,Kicknet,Ind/ 5 subsamples,2007,2019,13,13,9,9,fall,genus,2819,3,0.006835182,0.026548673,45,22,113,412425,2.331023775,0.059478022,1097026,25266147,0.068868238,5,188.5011,66.9,0.003490104,0.363636,0,0.677954065,1086.307692,17.73076923
103000635,Spain_3_1,Zubillaga (O√±ati) (O√ëATI),Spain,O√±ati,Aitor LarraÒaga,-2.4425529,43.0646151,Kicknet,Ind/ 5 subsamples,1997,2019,23,23,9,10,fall,genus,6659,4,0.024634952,0.037037037,35,7,108,270307,-0.122085728,0.027083333,1091692,15761026,0.119187967,5,126.5713,191.5,0.016272407,0,0.107212519,0,1060.608696,17.46123188
103000636,Spain_3_1,Zubizarreta (Asteasu) (ZIZURKIL),Spain,Asteasu,Aitor LarraÒaga,-2.0704154,43.191011,Kicknet,Ind/ 5 subsamples,2007,2019,13,13,9,10,fall,genus,33356,2,0.147479374,0.01980198,32,16,101,226174,4.34267099,0.066575091,1097230,25217174,0.300482442,4,27.62054,66.8,0,0.2708337,0,0,1293.846154,18.81794872
103000637,Spain_3_2,AGA20200,Spain,Gipuzkoa,Aitor LarraÒaga,-2.180836205,43.031355,Surber,Ind/ 4 subsamples,1987,2017,31,25,8,10,fall,family,NA,NA,NA,NA,28,4,54,43149.5,4.119713255,0.030357317,1097230,17283664,0.150635439,4,0.2097711,176.3,0.087233578,0,0.458333,0,1052.166667,17.82111111
103000638,Spain_3_2,AIX01100,Spain,Gipuzkoa,Aitor LarraÒaga,-2.504809212,43.17472831,Surber,Ind/ 4 subsamples,1996,2017,22,22,8,10,fall,family,NA,NA,NA,NA,33,17,54,90934,-2.297066109,0.03025127,1091692,10099019,0.294318945,1,0.1608726,198.8,0.130850947,0,0,0,1142.181818,17.50416667
103000640,Spain_3_2,AME13200,Spain,Gipuzkoa,Aitor LarraÒaga,-2.095363755,43.10195946,Surber,Ind/ 4 subsamples,1987,2017,31,23,5,7,summer,family,NA,NA,NA,NA,21,3,40,62184.5,3.44662876,0.030329301,1097230,22836475,0.257032727,6,393.0537,97.3,0,0,0,0,1177.322581,17.97311828
103000641,Spain_3_2,AMU09800,Spain,Gipuzkoa,Aitor LarraÒaga,-2.156649669,43.05063111,Surber,Ind/ 4 subsamples,1998,2017,20,20,5,7,summer,family,NA,NA,NA,NA,32,8,50,66911.5,-3.304720714,0.034912281,1097230,12211006,0.288610661,1,0.04193205,192.3,0.220418889,0,0,0,1145.25,17.94333333
103000642,Spain_3_2,ANL05500,Spain,Gipuzkoa,Aitor LarraÒaga,-2.390216358,43.10339854,Surber,Ind/ 4 subsamples,1996,2017,22,22,5,7,summer,family,NA,NA,NA,NA,19,6,41,102395.5,-2.720974175,0.02745624,1091692,13806941,0.344801317,4,0.05124928,249.6,0.278275193,0,0,0,1105.363636,17.26704545
103000643,Spain_3_2,ARA23700,Spain,Gipuzkoa,Aitor LarraÒaga,-2.078431506,43.12746307,Surber,Ind/ 4 subsamples,1996,2017,22,22,5,7,summer,family,NA,NA,NA,NA,25,5,45,51847,-3.259209839,0.029832486,1097230,23700846,0.018799672,1,0.05010536,87.6,0.01479322,0,1,0,1257.181818,18.22878788
103000644,Spain_3_2,ARD02400,Spain,Gipuzkoa,Aitor LarraÒaga,-1.818152879,43.28399333,Surber,Ind/ 4 subsamples,1996,2017,22,22,8,10,fall,family,NA,NA,NA,NA,23,5,48,21678.5,-3.119301539,0.033709769,1097233,22935212,0.112511617,3,0.01105639,101.2,0.043626947,0,0,0,1357.318182,17.66969697
103000645,Spain_3_2,ARM07700,Spain,Gipuzkoa,Aitor LarraÒaga,-2.518289284,43.07103097,Surber,Ind/ 4 subsamples,1996,2016,21,21,5,7,summer,family,NA,NA,NA,NA,27,3,44,71330.5,0.768292518,0.01948052,1091692,13629858,0.068998089,4,0.02137005,248.9,0.093340035,0.06734,0.387205,0,1046.428571,17.24801587
103000646,Spain_3_2,ARR03700,Spain,Gipuzkoa,Aitor LarraÒaga,-2.231426711,43.05388715,Surber,Ind/ 4 subsamples,1996,2017,22,22,5,7,summer,family,NA,NA,NA,NA,34,7,59,75334.5,-3.094534884,0.02826087,1097230,12549124,0.150575687,1,0.08909608,217.1,0.184915251,0,0,0,1120.681818,17.61060606
103000647,Spain_3_2,AST07900,Spain,Gipuzkoa,Aitor LarraÒaga,-2.053798712,43.19187484,Surber,Ind/ 4 subsamples,1998,2017,20,20,5,7,summer,family,NA,NA,NA,NA,25,8,43,64371,-3.289197243,0.035344611,1097230,26233461,0.143978335,6,633.5186,53.6,0.016201773,0.103059556,0.748792333,0,1268.6,18.63875
