,Respi_teg,Respi_gil,Respi_pls,Respi_spi,Respi_ves,ResisForm_egg,ResisForm_coc,ResisForm_hou,ResisForm_did,ResisForm_non,Disp_aquatic_passive,Disp_aquatic_active,Disp_aerial_passive,Disp_aerial_active,AquStag_egg,AquStag_larva,AquStag_nymph,AquStag_adult,LifCycDur_ls1yr,LifCycDur_1yr,Repro_ovo,Repro_fie,Repro_cie,Repro_fic,Repro_frc,Repro_vec,Repro_tec,Repro_ase,MaxBody_s1,MaxBody_s2,MaxBody_s3,MaxBody_s4,MaxBody_s5,MaxBody_s6,MaxBody_s7,WingPair_wnb1,WingPair_wnb2,WingPair_wnb3,WingPair_wnb4,WingPair_wnb5,PropDrif_drift1,PropDrif_drift2,PropDrif_drift3,FeedType_gra,FeedType_min,FeedType_xyl,FeedType_shr,FeedType_gat,FeedType_aff,FeedType_pff,FeedType_pre,FeedType_par,FeedType_oth
taxon_17905,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.3,0,0,0.1,0.3,0,0,0.3,0,0
taxon_17908,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_17910,0.2,0,0.2,0.6,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_17911,0,0,0.25,0.75,0,0,0,0,0,1,0.2,0.2,0,0.6,0.25,0.25,0,0.5,0.25,0.75,0,0,0,0,0,0,1,0,0,0.333333333,0.5,0.166666667,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_17912,0,0,0.25,0.75,0,0,0,0,0,1,0.2,0.2,0,0.6,0.25,0.25,0,0.5,0.25,0.75,0,0,0,0,0,0,1,0,0,0.333333333,0.5,0.166666667,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_17913,0,0,0.25,0.75,0,0,0,0,0,1,0.2,0.2,0,0.6,0.25,0.25,0,0.5,0.25,0.75,0,0,0,0,0,0,1,0,0,0.333333333,0.5,0.166666667,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
taxon_17914,0,0,0.25,0.75,0,0,0,0,0,1,0.2,0.2,0,0.6,0.25,0.25,0,0.5,0.25,0.75,0,0,0,0,0,0,1,0,0,0.333333333,0.5,0.166666667,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_17915,0,0,0.25,0.75,0,0,0,0,0,1,0.2,0.2,0,0.6,0.25,0.25,0,0.5,0.25,0.75,0,0,0,0,0,0,1,0,0,0.333333333,0.5,0.166666667,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_17919,0,0,0.25,0.75,0,0,0,0,0,1,0.2,0.2,0,0.6,0.25,0.25,0,0.5,0.25,0.75,0,0,0,0,0,0,1,0,0,0.333333333,0.5,0.166666667,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_17926,0,0,0.25,0.75,0,0,0,0,0,1,0.2,0.2,0,0.6,0.25,0.25,0,0.5,0.25,0.75,0,0,0,0,0,0,1,0,0,0.333333333,0.5,0.166666667,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_17928,0,0,0.25,0.75,0,0,0,0,0,1,0.2,0.2,0,0.6,0.25,0.25,0,0.5,0.25,0.75,0,0,0,0,0,0,1,0,0,0.333333333,0.5,0.166666667,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_17930,0,0,0.25,0.75,0,0,0,0,0,1,0.2,0.2,0,0.6,0.25,0.25,0,0.5,0.25,0.75,0,0,0,0,0,0,1,0,0,0.333333333,0.5,0.166666667,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
taxon_17932,0,0,0.25,0.75,0,0,0,0,0,1,0.2,0.2,0,0.6,0.25,0.25,0,0.5,0.25,0.75,0,0,0,0,0,0,1,0,0,0.333333333,0.5,0.166666667,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_17933,0,0,0.25,0.75,0,0,0,0,0,1,0.2,0.2,0,0.6,0.25,0.25,0,0.5,0.25,0.75,0,0,0,0,0,0,1,0,0,0.333333333,0.5,0.166666667,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_17935,0,0,0.25,0.75,0,0,0,0,0,1,0.2,0.2,0,0.6,0.25,0.25,0,0.5,0.25,0.75,0,0,0,0,0,0,1,0,0,0.333333333,0.5,0.166666667,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_17947,0,0,0.25,0.75,0,0,0,0,0,1,0.2,0.2,0,0.6,0.25,0.25,0,0.5,0.25,0.75,0,0,0,0,0,0,1,0,0,0.333333333,0.5,0.166666667,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_17967,0,0,0.25,0.75,0,0,0,0,0,1,0.2,0.2,0,0.6,0.25,0.25,0,0.5,0.25,0.75,0,0,0,0,0,0,1,0,0,0.333333333,0.5,0.166666667,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_17969,0,0,0.25,0.75,0,0,0,0,0,1,0.2,0.2,0,0.6,0.25,0.25,0,0.5,0.25,0.75,0,0,0,0,0,0,1,0,0,0.333333333,0.5,0.166666667,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.909090909,0,0,0,0.090909091,0,0
taxon_17987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taxon_18001,0.333333333,0,0,0.666666667,0,0,0,0,0,1,0.2,0.2,0,0.6,0.375,0.375,0,0.25,0,1,0,0,0,0.75,0,0.25,0,0,0,0,0,0.25,0.75,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18002,0.333333333,0,0,0.666666667,0,0,0,0,0,1,0.2,0.2,0,0.6,0.375,0.375,0,0.25,0,1,0,0,0,0.75,0,0.25,0,0,0,0,0,0.25,0.75,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18003,0.333333333,0,0,0.666666667,0,0,0,0,0,1,0.2,0.2,0,0.6,0.375,0.375,0,0.25,0,1,0,0,0,0.75,0,0.25,0,0,0,0,0,0.25,0.75,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18017,0,0,0.6,0.4,0,0,0,0,0,1,0.333333333,0.166666667,0,0.5,0.5,0,0,0.5,0.25,0.75,0,0,0,0,0,0,1,0,0.25,0.75,0,0,0,0,0,0,0,0,1,0,0.5,0.333333333,0.166666667,0.090909091,0,0,0.272727273,0.363636364,0,0.272727273,0,0,0
taxon_18030,0,0,0.6,0.4,0,0,0,0,0,1,0.333333333,0.166666667,0,0.5,0.5,0,0,0.5,0.25,0.75,0,0,0,0,0,0,1,0,0.25,0.75,0,0,0,0,0,0,0,0,1,0,0.5,0.333333333,0.166666667,0.714285714,0,0,0,0,0,0,0,0,0.285714286
taxon_18064,0,0,0.6,0.4,0,0,0,0,0,1,0.333333333,0.166666667,0,0.5,0.5,0,0,0.5,0.25,0.75,0,0,0,0,0,0,1,0,0.25,0.75,0,0,0,0,0,0,0,0,1,0,0.5,0.333333333,0.166666667,1,0,0,0,0,0,0,0,0,0
taxon_18095,0,0,0.6,0.4,0,0,0,0,0,1,0.333333333,0.166666667,0,0.5,0.5,0,0,0.5,0.25,0.75,0,0,0,0,0,0,1,0,0.25,0.75,0,0,0,0,0,0,0,0,1,0,0.5,0.333333333,0.166666667,1,0,0,0,0,0,0,0,0,0
taxon_18100,0,0,0.6,0.4,0,0,0,0,0,1,0.333333333,0.166666667,0,0.5,0.5,0,0,0.5,0.25,0.75,0,0,0,0,0,0,1,0,0.25,0.75,0,0,0,0,0,0,0,0,1,0,0.5,0.333333333,0.166666667,1,0,0,0,0,0,0,0,0,0
taxon_18114,0,0,0.6,0.4,0,0,0,0,0,1,0.333333333,0.166666667,0,0.5,0.5,0,0,0.5,0.25,0.75,0,0,0,0,0,0,1,0,0.25,0.75,0,0,0,0,0,0,0,0,1,0,0.5,0.333333333,0.166666667,1,0,0,0,0,0,0,0,0,0
taxon_18115,0,0,0.6,0.4,0,0,0,0,0,1,0.333333333,0.166666667,0,0.5,0.5,0,0,0.5,0.25,0.75,0,0,0,0,0,0,1,0,0.25,0.75,0,0,0,0,0,0,0,0,1,0,0.5,0.333333333,0.166666667,1,0,0,0,0,0,0,0,0,0
taxon_18130,0,0,0.6,0.4,0,0,0,0,0,1,0.333333333,0.166666667,0,0.5,0.5,0,0,0.5,0.25,0.75,0,0,0,0,0,0,1,0,0.25,0.75,0,0,0,0,0,0,0,0,1,0,0.5,0.333333333,0.166666667,0.692307692,0,0,0,0,0,0,0,0,0.307692308
taxon_18146,0,0,0.6,0.4,0,0,0,0,0,1,0.333333333,0.166666667,0,0.5,0.5,0,0,0.5,0.25,0.75,0,0,0,0,0,0,1,0,0.25,0.75,0,0,0,0,0,0,0,0,1,0,0.5,0.333333333,0.166666667,0.4,0,0,0.4,0.2,0,0,0,0,0
taxon_18153,0,0,0.4,0.6,0,0,0,0,0,1,0.333333333,0.166666667,0,0.5,0.6,0,0,0.4,0.25,0.75,0,0,0,0,0,0,1,0,0.4,0.6,0,0,0,0,0,0,0,0,1,0,0.5,0.333333333,0.166666667,1,0,0,0,0,0,0,0,0,0
taxon_18157,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18158,0.2,0,0.2,0.6,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18159,0.25,0,0.25,0.5,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.75,0.25,0,0.111111111,0.111111111,0,0.111111111,0.222222222,0,0,0.444444444,0,0
taxon_18163,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0.75,0.333333333,0,0,0.666666667,0.25,0.75,0,0,0,0,0,0,1,0,0,0.75,0.25,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
taxon_18165,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0.75,0.333333333,0,0,0.666666667,0.25,0.75,0,0,0,0,0,0,1,0,0,0.75,0.25,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
taxon_18167,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0.75,0.333333333,0,0,0.666666667,0.25,0.75,0,0,0,0,0,0,1,0,0,0.75,0.25,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
taxon_18178,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0.75,0.333333333,0,0,0.666666667,0.25,0.75,0,0,0,0,0,0,1,0,0,0.75,0.25,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
taxon_18180,0.25,0.75,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0,0.5,0.5,0.5,0,0,0.25,0.75,0,0,0,0,0,0,1,0,0.333333333,0.5,0.166666667,0,0,0,0,0,0,0,1,0,0.5,0.5,0,0.1,0,0,0.2,0.6,0,0,0.1,0,0
taxon_18182,0.333333333,0,0,0.666666667,0,0,0,0,0,1,0.2,0.2,0,0.6,0.375,0.375,0,0.25,0,1,0,0,0,0.75,0,0.25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18186,0.25,0,0.25,0.5,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0,0,0,1,0,1,0,0,0.1,0,0,0.3,0.5,0,0,0.1,0,0
taxon_18187,0.2,0,0.2,0.6,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0,0,0,1,0,1,0,0,0.111111111,0.111111111,0,0.111111111,0.222222222,0,0,0.444444444,0,0
taxon_18189,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.75,0.25,0,0.2,0.1,0,0.2,0.2,0,0,0.3,0,0
taxon_18191,0.166666667,0,0.333333333,0.5,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.75,0.25,0,0.2,0.1,0,0.2,0.2,0,0,0.3,0,0
taxon_18192,0.333333333,0,0,0.666666667,0,0,0,0,0,1,0.2,0.2,0,0.6,0.375,0.375,0,0.25,0,1,0,0,0,0.75,0,0.25,0,0,0,0.25,0.25,0.25,0.25,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18195,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0.6,0.4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18203,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0.6,0.4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18206,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0.6,0.4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18213,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0.6,0.4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18215,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0.6,0.4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18224,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0.6,0.4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18238,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0.6,0.4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18240,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0.6,0.4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18242,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0.6,0.4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18251,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0.6,0.4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18255,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0.6,0.4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18256,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0.6,0.4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taxon_18265,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18270,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0.6,0.4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18274,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0.6,0.4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18275,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0.6,0.4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18284,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0.6,0.4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18285,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0.6,0.4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18286,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0.6,0.4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18296,0.333333333,0,0,0.666666667,0,0,0,0,0,1,0.2,0.2,0,0.6,0.375,0.375,0,0.25,0,1,0,0,0,0.75,0,0.25,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18301,0.25,0,0,0.75,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0.75,0.25,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18302,0.25,0,0,0.75,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0.75,0.25,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18306,0.25,0,0,0.75,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0.75,0.25,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18307,0.25,0,0,0.75,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0.75,0.25,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18319,0.25,0,0,0.75,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0.75,0.25,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18321,0.25,0,0,0.75,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0.75,0.25,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18324,0.25,0,0,0.75,0,0,0,0,0,1,0,0.25,0,0.75,0.375,0.375,0,0.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0.75,0.25,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18330,0.2,0,0.2,0.6,0,0,0,0,0,1,0.2,0.2,0,0.6,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0.25,0.75,0,0,0,0,0,0,0,1,0,1,0,0,0.25,0.166666667,0,0.083333333,0.25,0,0,0.25,0,0
taxon_18331,0.2,0,0.2,0.6,0,0,0,0,0,1,0.2,0.2,0,0.6,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0.25,0.75,0,0,0,0,0,0,0,1,0,1,0,0,0.25,0.166666667,0,0.083333333,0.25,0,0,0.25,0,0
taxon_18337,0.2,0,0.2,0.6,0,0,0,0,0,1,0.2,0.2,0,0.6,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0.25,0.75,0,0,0,0,0,0,0,1,0,1,0,0,0.1,0.1,0,0.05,0.1,0,0,0.15,0,0.5
taxon_18346,0.2,0,0.2,0.6,0,0,0,0,0,1,0.2,0.2,0,0.6,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0.25,0.75,0,0,0,0,0,0,0,1,0,1,0,0,0.1,0.1,0,0.05,0.1,0,0,0.15,0,0.5
taxon_18347,0.2,0,0.2,0.6,0,0,0,0,0,1,0.2,0.2,0,0.6,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0.25,0.75,0,0,0,0,0,0,0,1,0,1,0,0,0.25,0.166666667,0,0.083333333,0.25,0,0,0.25,0,0
taxon_18356,0.25,0,0,0.75,0,0,0,0,0,1,0.2,0.2,0,0.6,0.375,0.375,0,0.25,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.5,0.5,0,0,0,0,0,0,0,0,1,0,0
taxon_18357,0.25,0,0,0.75,0,0,0,0,0,1,0.2,0.2,0,0.6,0.375,0.375,0,0.25,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.5,0.5,0,0,0,0,0,0,0,0,1,0,0
taxon_18359,0.25,0,0,0.75,0,0,0,0,0,1,0.2,0.2,0,0.6,0.375,0.375,0,0.25,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.5,0.5,0,0,0,0,0,0,0,0,0.909090909,0,0.090909091
taxon_18361,0.333333333,0,0,0.666666667,0,0,0,0,0,1,0.2,0.2,0,0.6,0.375,0.375,0,0.25,0,1,0,0,0,0.75,0,0.25,0,0,0,0.25,0.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
taxon_18363,0,0,0.4,0.6,0,0,0,0,0,1,0.333333333,0.166666667,0,0.5,0.6,0,0,0.4,0.25,0.75,0,0,0,0,0,0,1,0,0.6,0.4,0,0,0,0,0,0,0,0,1,0,0.75,0.25,0,1,0,0,0,0,0,0,0,0,0
taxon_18371,0,0,0.4,0.6,0,0,0,0,0,1,0.333333333,0.166666667,0,0.5,0.6,0,0,0.4,0.25,0.75,0,0,0,0,0,0,1,0,0.6,0.4,0,0,0,0,0,0,0,0,1,0,0.75,0.25,0,1,0,0,0,0,0,0,0,0,0
taxon_18397,0,0,0.4,0.6,0,0,0,0,0,1,0.333333333,0.166666667,0,0.5,0.6,0,0,0.4,0.25,0.75,0,0,0,0,0,0,1,0,0.6,0.4,0,0,0,0,0,0,0,0,1,0,0.75,0.25,0,1,0,0,0,0,0,0,0,0,0
taxon_18403,0,0,0.4,0.6,0,0,0,0,0,1,0.333333333,0.166666667,0,0.5,0.6,0,0,0.4,0.25,0.75,0,0,0,0,0,0,1,0,0.6,0.4,0,0,0,0,0,0,0,0,1,0,0.75,0.25,0,0.5,0,0,0.5,0,0,0,0,0,0
taxon_18407,0,0,0.4,0.6,0,0,0,0,0,1,0.333333333,0.166666667,0,0.5,0.6,0,0,0.4,0.25,0.75,0,0,0,0,0,0,1,0,0.6,0.4,0,0,0,0,0,0,0,0,1,0,0.75,0.25,0,0.909090909,0,0,0.090909091,0,0,0,0,0,0
taxon_18409,0,0,0.4,0.6,0,0,0,0,0,1,0.333333333,0.166666667,0,0.5,0.6,0,0,0.4,0.25,0.75,0,0,0,0,0,0,1,0,0.6,0.4,0,0,0,0,0,0,0,0,1,0,0.75,0.25,0,1,0,0,0,0,0,0,0,0,0
taxon_18418,0,0,0,0,0,0,0,0,0,1,0.4,0.2,0,0.4,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0.25,0.75,0,0,0,0,0,0,0,1,0,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0
taxon_18419,0,0,0,0,0,0,0,0,0,1,0.4,0.2,0,0.4,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0.25,0.75,0,0,0,0,0,0,0,1,0,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0
taxon_18421,0,0,0,0,0,0,0,0,0,1,0.4,0.2,0,0.4,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0.25,0.75,0,0,0,0,0,0,0,1,0,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0
taxon_18432,0.142857143,0.428571429,0.428571429,0,0,0,0,0,0,1,0.25,0.25,0,0.5,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.5,0.5,0,0,0,1,0,0,0,0,0,0,0
taxon_18433,0.142857143,0.428571429,0.428571429,0,0,0,0,0,0,1,0.25,0.25,0,0.5,0.375,0.375,0,0.25,0.25,0.75,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.5,0.5,0,0,0,1,0,0,0,0,0,0,0
